path	sentence
merged_clips\clip_000000.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 聽到聲音我就知道是妳了
merged_clips\clip_000001.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 請問要喝點什麼
merged_clips\clip_000002.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不用了開水就可以了
merged_clips\clip_000003.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 請妳喝杯飲料是應該的
merged_clips\clip_000004.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 只有一間臨時辦公室
merged_clips\clip_000005.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 別以為我們很不正式
merged_clips\clip_000006.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你們是外商公司對吧
merged_clips\clip_000007.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 總公司在新加坡
merged_clips\clip_000008.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 早上我參觀這裡的工業區後
merged_clips\clip_000009.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 才決定把工廠設在這裡
merged_clips\clip_000010.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 對啊臨時決定的
merged_clips\clip_000011.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 短期助理工作會變成固定員工
merged_clips\clip_000012.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 小姐妳的檸檬汁
merged_clips\clip_000013.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 刊登的徵人啟事寫得不太清楚
merged_clips\clip_000014.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我不知道一個助理需要做什麼
merged_clips\clip_000015.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 就是一些基本的文書處理
merged_clips\clip_000016.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 一分鐘能夠打幾個字
merged_clips\clip_000017.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 這篇給妳一分鐘時間
merged_clips\clip_000018.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 好來開始
merged_clips\clip_000019.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 等會兒再回去
merged_clips\clip_000020.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你這是做什麼 等會兒再回去
merged_clips\clip_000021.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 等會兒 我要回去
merged_clips\clip_000022.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 這件事麻煩你告訴局長
merged_clips\clip_000023.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 原來寧願出賣自己的身體賺錢
merged_clips\clip_000024.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 誰用自己的身體賺錢
merged_clips\clip_000025.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果你不相信去問警察
merged_clips\clip_000026.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 發生什麼事我很清楚
merged_clips\clip_000027.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 要跟多少人睡才能還清
merged_clips\clip_000028.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你說這話真過分
merged_clips\clip_000029.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 妳要罵人之前先搞清楚
merged_clips\clip_000030.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 是她先動手打我
merged_clips\clip_000031.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我看那天妳根本不是占車位
merged_clips\clip_000032.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 同一個賣淫集團
merged_clips\clip_000033.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不過妳們條件都不錯
merged_clips\clip_000034.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不知道哪一個價錢比較好
merged_clips\clip_000035.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 江素帆跟賣淫集團的人打我
merged_clips\clip_000036.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 妳怎麼一點危機意識都沒有
merged_clips\clip_000037.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我怎麼知道對方如此大膽
merged_clips\clip_000038.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果以後需要錢就告訴我
merged_clips\clip_000039.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我可以借妳
merged_clips\clip_000040.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我們情同姐妹
merged_clips\clip_000041.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 希望妳一定要幫忙我一件事
merged_clips\clip_000042.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 今天的事別告訴我爸媽
merged_clips\clip_000043.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我怕他們會擔心
merged_clips\clip_000044.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 合約書的日期已經到了
merged_clips\clip_000045.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你別動不動就大呼小叫
merged_clips\clip_000046.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 過兩天我會給你一個交代
merged_clips\clip_000047.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你不用怕我跑掉
merged_clips\clip_000048.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 好吧看妳這麼有誠意
merged_clips\clip_000049.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不然這個你先收回去
merged_clips\clip_000050.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 家昌做事真莽撞
merged_clips\clip_000051.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 自作主張賣土地
merged_clips\clip_000052.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 真是成事不足敗事有餘
merged_clips\clip_000053.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 他會慢慢還違約金
merged_clips\clip_000054.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不是家昌沒有交代清楚
merged_clips\clip_000055.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你要家昌有困難要說不是嗎
merged_clips\clip_000056.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我說過的不會忘記
merged_clips\clip_000057.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 氣他做事不負責任
merged_clips\clip_000058.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 阿姨乾脆賣掉那塊地
merged_clips\clip_000059.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 違約金一事我會和他們談
merged_clips\clip_000060.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 那塊地我要過戶給你
merged_clips\clip_000061.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 讓你跟淑惠蓋肉品工廠
merged_clips\clip_000062.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 為什麼不行
merged_clips\clip_000063.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 那塊地是爸爸過戶給妳
merged_clips\clip_000064.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 是爸爸對妳的照顧
merged_clips\clip_000065.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你爸爸已經照顧我許多
merged_clips\clip_000066.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你幫爸爸栽培家昌夠多了
merged_clips\clip_000067.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 支持你們夫妻發展事業
merged_clips\clip_000068.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你就接受阿姨的好意
merged_clips\clip_000069.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你就該好好做給她看
merged_clips\clip_000070.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 才不會辜負阿姨
merged_clips\clip_000071.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果家昌知道會不諒解阿姨
merged_clips\clip_000072.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 當然是應該的
merged_clips\clip_000073.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 但是現在家昌已經在台北奮鬥
merged_clips\clip_000074.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你就讓他獨立
merged_clips\clip_000075.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 如果以後肉品公司成功了
merged_clips\clip_000076.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 他有任何需要我們再幫忙
merged_clips\clip_000077.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你還記得嗎
merged_clips\clip_000078.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你同學勝吉回來
merged_clips\clip_000079.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 要找你去他公司上班
merged_clips\clip_000080.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你明明就是那麼有才華的人
merged_clips\clip_000081.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 總要發展一些自己的事業
merged_clips\clip_000082.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 就算你不為自己著想
merged_clips\clip_000083.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 也要為我想想
merged_clips\clip_000084.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你知道那天勝吉老婆
merged_clips\clip_000085.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 說我怎麼樣嗎
merged_clips\clip_000086.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 她說我身上有豬屎味
merged_clips\clip_000087.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 別人的太太身上是香水味
merged_clips\clip_000088.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你的太太身上是豬屎味
merged_clips\clip_000089.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我每天從早做到晚
merged_clips\clip_000090.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 並未要求什麼
merged_clips\clip_000091.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 只是希望自己的丈夫
merged_clips\clip_000092.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 能夠堅持他的理想
merged_clips\clip_000093.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 實現他對我說過的話
merged_clips\clip_000094.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 你就是無法了解我的心情
merged_clips\clip_000095.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 家龍準備好身分證跟印章
merged_clips\clip_000096.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 把阿姨那塊地過戶給你
merged_clips\clip_000097.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我在想過去、未來
merged_clips\clip_000098.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 當初我們要結婚時
merged_clips\clip_000099.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我爸爸、媽媽
merged_clips\clip_000100.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 以為我嫁的是一個電子工程師
merged_clips\clip_000101.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 怎麼都想不到
merged_clips\clip_000102.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 我一直陪你在這裡養豬
merged_clips\clip_000103.wav	<|startoftranscript|><|nan|><|translate|><|zh|> 不知道我爸爸、媽媽
